auction_date_transformed,auction_id,bstock_category_name,bid_date,bid_id,bidder_id,bid_amount_transformed
2022-09-10,1500000,"Apparel, Footwear & Accessories","2022-09-10 17:22:49.000000 UTC",16819417,1,10
2022-09-10,1500000,"Apparel, Footwear & Accessories","2022-09-10 17:22:50.000000 UTC",16819418,1,100
2022-09-10,1500000,"Apparel, Footwear & Accessories","2022-09-10 17:22:51.000000 UTC",16819419,2,101
2022-09-10,1500000,"Apparel, Footwear & Accessories","2022-09-10 17:22:52.000000 UTC",16819420,1,200
2022-09-10,1500000,"Apparel, Footwear & Accessories","2022-09-10 17:22:53.000000 UTC",16819421,2,201
2022-09-10,1500000,"Apparel, Footwear & Accessories","2022-09-10 17:22:54.000000 UTC",16819422,1,300
2022-09-10,1500000,"Apparel, Footwear & Accessories","2022-09-10 17:22:55.000000 UTC",16819423,3,600
2022-09-10,1500000,"Apparel, Footwear & Accessories","2022-09-10 17:22:56.000000 UTC",16819424,2,601
2022-09-10,1500000,"Apparel, Footwear & Accessories","2022-09-10 17:22:57.000000 UTC",16819425,1,700
2022-09-10,1500000,"Apparel, Footwear & Accessories","2022-09-10 17:22:58.000000 UTC",16819426,3,1000
2022-09-10,1500000,"Apparel, Footwear & Accessories","2022-09-10 17:22:59.000000 UTC",16819427,2,1001
2022-09-10,1500000,"Apparel, Footwear & Accessories","2022-09-10 17:22:59.000000 UTC",16819428,1,1100
2022-09-13,1640483,"Apparel, Footwear & Accessories","2022-09-07 19:08:35.000000 UTC",17768183,54c35849421aa90e9061a6d5,100
2022-09-13,1640483,"Apparel, Footwear & Accessories","2022-09-07 19:11:31.000000 UTC",17768280,62e329abff03c2000d83079d,125
2022-09-13,1640483,"Apparel, Footwear & Accessories","2022-09-07 19:13:49.000000 UTC",17768356,6013639cc8ce886da943be4d,200
2022-09-13,1640483,"Apparel, Footwear & Accessories","2022-09-07 19:23:19.000000 UTC",17768645,54c35627421aa90e95616a59,225
2022-09-13,1640483,"Apparel, Footwear & Accessories","2022-09-07 19:29:43.000000 UTC",17768859,626ead6dff03c2000b200ba3,250
2022-09-13,1640483,"Apparel, Footwear & Accessories","2022-09-07 19:39:02.000000 UTC",17769180,54c35627421aa90e95616a59,325
